"dates","y~(t)","y~(t-1)","y~(t-2)","[r(t-1)+r(t-2)]/2","g(t-1)","C"
1961-01-01,-2.85514280777716,-2.10680235864982,-0.79727648060387,2.14143439016424,1.19142904725631,1
1961-04-01,-2.41966542744188,-2.85514280777716,-2.10680235864982,2.20154326907842,1.19118964955445,1
1961-07-01,-1.66844680120536,-2.41966542744188,-2.85514280777716,2.01839810881083,1.18875124007297,1
1961-10-01,-1.03985570791718,-1.66844680120536,-2.41966542744188,1.83021413647697,1.18712434706203,1
1962-01-01,-0.291803838801059,-1.03985570791718,-1.66844680120536,2.25625154004926,1.18396153077701,1
1962-04-01,-0.0612444498828495,-0.291803838801059,-1.03985570791718,3.20430467440084,1.18232028473318,1
1962-07-01,0.168351008046557,-0.0612444498828495,-0.291803838801059,3.57678724042336,1.18170372786188,1
1962-10-01,0.451742096893554,0.168351008046557,-0.0612444498828495,4.156907706385,1.17969321961528,1
1963-01-01,0.425776131369986,0.451742096893554,0.168351008046557,3.61133899721318,1.17896656351795,1
1963-04-01,0.593961492039114,0.425776131369986,0.451742096893554,2.4158645781571,1.17856222108492,1
1963-07-01,0.814904601419954,0.593961492039114,0.425776131369986,2.49078648050205,1.17978226945384,1
1963-10-01,1.62467029359283,0.814904601419954,0.593961492039114,2.42533357590811,1.17817684755558,1
1964-01-01,2.24268441770653,1.62467029359283,0.814904601419954,2.29211264783206,1.17372547460231,1
1964-04-01,2.21381858600205,2.24268441770653,1.62467029359283,2.37526062126999,1.17122942908041,1
1964-07-01,2.19123081051367,2.21381858600205,2.24268441770653,1.97717680136034,1.16999185672485,1
1964-10-01,2.2284098154648,2.19123081051367,2.21381858600205,2.09840358739853,1.1707467763823,1
1965-01-01,2.84138032980431,2.2284098154648,2.19123081051367,2.59668582531149,1.16813799732435,1
1965-04-01,3.0733808617224,2.84138032980431,2.2284098154648,2.62415920835758,1.16558913103465,1
1965-07-01,3.38939405608272,3.0733808617224,2.84138032980431,2.38729559943651,1.16368270955921,1
1965-10-01,3.99505531760798,3.38939405608272,3.0733808617224,2.10927036969256,1.1597115408792,1
1966-01-01,4.48902437113438,3.99505531760798,3.38939405608272,1.90025735232379,1.15426414431995,1
1966-04-01,4.8070277633085,4.48902437113438,3.99505531760798,1.66871300929678,1.1468702757498,1
1966-07-01,4.52063750436534,4.8070277633085,4.48902437113438,1.56392876516597,1.14171332517274,1
1966-10-01,4.30533346776733,4.52063750436534,4.8070277633085,1.59174844140639,1.13674200438945,1
1967-01-01,3.86716988863108,4.30533346776733,4.52063750436534,1.70524431519556,1.13428851133307,1
1967-04-01,3.85866437227295,3.86716988863108,4.30533346776733,2.01419006675046,1.12997770229847,1
1967-07-01,3.52239406077032,3.85866437227295,3.86716988863108,1.8481338427191,1.1263082197019,1
1967-10-01,3.22473647282709,3.52239406077032,3.85866437227295,1.20874095493771,1.12447504237801,1
1968-01-01,3.23288807547328,3.22473647282709,3.52239406077032,1.48218486564468,1.1238154184724,1
