"dates","y~(t)","y~(t-1)","y~(t-2)","[r(t-1)+r(t-2)]/2","g(t-1)","C"
1961-01-01,-0.163802056521945,0.153579157030208,0.451790209129513,4.22470707375905,0.707456896516214,1
1961-04-01,-0.489374078108085,-0.163802056521945,0.153579157030208,3.24179797861067,0.706454360505304,1
1961-07-01,-0.79384367555167,-0.489374078108085,-0.163802056521945,2.55867071079165,0.706036234551347,1
1961-10-01,-1.03571757660893,-0.79384367555167,-0.489374078108085,2.80281838615049,0.706057344397151,1
1962-01-01,-1.18143544333998,-1.03571757660893,-0.79384367555167,2.77618675113393,0.70619052288451,1
1962-04-01,-1.20592714406894,-1.18143544333998,-1.03571757660893,1.76350120883501,0.706171494525288,1
1962-07-01,-1.09615835322779,-1.20592714406894,-1.18143544333998,0.27299479003364,0.706264914765368,1
1962-10-01,-0.858344531438206,-1.09615835322779,-1.20592714406894,0.0863088928234705,0.707067544208309,1
1963-01-01,-0.508293306147152,-0.858344531438206,-1.09615835322779,1.45202310832995,0.70816717382315,1
1963-04-01,-0.0690615256621641,-0.508293306147152,-0.858344531438206,1.51353015649358,0.707432081401267,1
1963-07-01,0.360120290606801,-0.0690615256621641,-0.508293306147152,1.84656973722744,0.70695521176436,1
1963-10-01,0.738286381663329,0.360120290606801,-0.0690615256621641,2.75199601992027,0.705810434544613,1
1964-01-01,1.01348943337302,0.738286381663329,0.360120290606801,2.43836778792282,0.704875922522154,1
1964-04-01,1.16648893746378,1.01348943337302,0.738286381663329,2.66488282593304,0.703475499287551,1
1964-07-01,1.17169792606319,1.16648893746378,1.01348943337302,2.89859545787823,0.702290207913049,1
1964-10-01,1.05314159707291,1.17169792606319,1.16648893746378,1.74145372788592,0.700666425395762,1
1965-01-01,0.817149524096294,1.05314159707291,1.17169792606319,1.60255960220167,0.699520717331414,1
1965-04-01,0.498663682912593,0.817149524096294,1.05314159707291,2.56248103943072,0.698630788137232,1
1965-07-01,0.144914228230391,0.498663682912593,0.817149524096294,2.44279430135859,0.69751952202099,1
1965-10-01,-0.203270487942973,0.144914228230391,0.498663682912593,1.76982559391371,0.696283387249803,1
1966-01-01,-0.510013326525495,-0.203270487942973,0.144914228230391,1.67173383736279,0.695188408525259,1
1966-04-01,-0.74029709180536,-0.510013326525495,-0.203270487942973,1.87989932272172,0.694028855676417,1
1966-07-01,-0.874198329591763,-0.74029709180536,-0.510013326525495,2.28000439977317,0.692988656015354,1
1966-10-01,-0.899004996769236,-0.874198329591763,-0.74029709180536,3.16070839694068,0.692523061912365,1
1967-01-01,-0.79761704918883,-0.899004996769236,-0.874198329591763,3.66270332075892,0.691678522667432,1
1967-04-01,-0.589107149544589,-0.79761704918883,-0.899004996769236,3.33755158121054,0.690433963353931,1
1967-07-01,-0.309393242334181,-0.589107149544589,-0.79761704918883,3.27637069204957,0.68937157649478,1
1967-10-01,0.00984533857126735,-0.309393242334181,-0.589107149544589,3.75249925702216,0.688519407552865,1
1968-01-01,0.330416398961461,0.00984533857126735,-0.309393242334181,4.80273772426435,0.686126221343544,1
